	world	node	child	value	prob	N	hash	dv_0.7	dv_0.71	dv_0.72	dv_0.73	dv_0.74	dv_0.75	dv_0.76	dv_0.77	dv_0.78	dv_0.79	dv_0.8	dv_0.81	dv_0.82	dv_0.83	dv_0.84	dv_0.85	dv_0.86	dv_0.87	dv_0.88	dv_0.89	dv_0.9	dv_0.91	dv_0.92	dv_0.93	dv_0.94	dv_0.95	dv_0.96	dv_0.97	dv_0.98	dv_0.99
109	museum	N9449477	N3255322	20.9	0.0	1	museum N9449477	16.55	16.695	16.84	16.985	17.13	17.275	17.42	17.565	17.71	17.855	18.0	18.145	18.29	18.435	18.58	18.725	18.87	19.015	19.16	19.305	19.45	19.595	19.74	19.885	20.03	20.175	20.32	20.465	20.61	20.755
117	museum	N3878259	N4337909	20.5	0.9032258065000001	31	museum N3878259	15.04	15.222	15.404	15.586	15.768	15.95	16.132	16.314	16.496	16.678	16.86	17.042	17.224	17.406	17.588	17.77	17.952	18.134	18.316	18.498	18.68	18.862	19.044	19.226	19.408	19.59	19.772	19.954	20.136	20.318
138	museum	N4946088	N8559917	21.25	0.7586206897	29	museum N4946088	16.188	16.356	16.525	16.694	16.862	17.031	17.2	17.369	17.538	17.706	17.875	18.044	18.212	18.381	18.55	18.719	18.888	19.056	19.225	19.394	19.562	19.731	19.9	20.069	20.237	20.406	20.575	20.744	20.912	21.081
157	museum	N4337909	N3311969	22.75	0.9142857143	35	museum N4337909	17.237	17.421	17.605	17.789	17.972	18.156	18.34	18.524	18.708	18.891	19.075	19.259	19.442	19.626	19.81	19.994	20.178	20.361	20.545	20.729	20.912	21.096	21.28	21.464	21.647	21.831	22.015	22.199	22.382	22.566
158	museum	N4337909	N4708138	24.75	0.0857142857	35	museum N4337909	20.625	20.762	20.9	21.038	21.175	21.312	21.45	21.588	21.725	21.862	22.0	22.138	22.275	22.412	22.55	22.688	22.825	22.962	23.1	23.238	23.375	23.513	23.65	23.788	23.925	24.062	24.2	24.338	24.475	24.612
139	museum	N4946088	N2723957	22.25	0.2413793103	29	museum N4946088	18.575	18.697	18.82	18.942	19.065	19.188	19.31	19.432	19.555	19.678	19.8	19.922	20.045	20.167	20.29	20.412	20.535	20.658	20.78	20.902	21.025	21.148	21.27	21.392	21.515	21.638	21.76	21.882	22.005	22.127
169	museum	N7239905	N1666022	24.9	0.0	1	museum N7239905	19.83	19.999	20.168	20.337	20.506	20.675	20.844	21.013	21.182	21.351	21.52	21.689	21.858	22.027	22.196	22.365	22.534	22.703	22.872	23.041	23.21	23.379	23.548	23.717	23.886	24.055	24.224	24.393	24.562	24.731
167	museum	N7239905	N8235434	22.900002	1.0	1	museum N7239905	16.84	17.042	17.244	17.446	17.648	17.85	18.052	18.254	18.456	18.658	18.86	19.062	19.264	19.466	19.668	19.87	20.072	20.274	20.476	20.678	20.88	21.082	21.284	21.486	21.688	21.89	22.092	22.294	22.496	22.698
168	museum	N7239905	N2769566	24.1	0.0	1	museum N7239905	17.92	18.126	18.332	18.538	18.744	18.95	19.156	19.362	19.568	19.774	19.98	20.186	20.392	20.598	20.804	21.01	21.216	21.422	21.628	21.834	22.04	22.246	22.452	22.658	22.864	23.07	23.276	23.482	23.688	23.894
119	museum	N3878259	N2766129	23.300001	0.0322580645	31	museum N3878259	18.47	18.631	18.792	18.953	19.114	19.275	19.436	19.597	19.758	19.919	20.08	20.241	20.402	20.563	20.724	20.885	21.046	21.207	21.368	21.529	21.69	21.851	22.012	22.173	22.334	22.495	22.656	22.817	22.978	23.139
118	museum	N3878259	N5843320	21.7	0.064516129	31	museum N3878259	16.0	16.19	16.38	16.57	16.76	16.95	17.14	17.33	17.52	17.71	17.9	18.09	18.28	18.47	18.66	18.85	19.04	19.23	19.42	19.61	19.8	19.99	20.18	20.37	20.56	20.75	20.94	21.13	21.32	21.51
57	roomG	N8320789	N1625775	18.571428	0.3088235294	68	roomG N8320789	14.329	14.47	14.611	14.753	14.894	15.036	15.177	15.319	15.46	15.601	15.743	15.884	16.026	16.167	16.309	16.45	16.591	16.733	16.874	17.016	17.157	17.299	17.44	17.581	17.723	17.864	18.006	18.147	18.289	18.43
112	roomG	N5279315	N6566182	22.571428	0.0	1	roomG N5279315	17.471	17.641	17.811	17.981	18.151	18.321	18.491	18.661	18.831	19.001	19.171	19.341	19.511	19.681	19.851	20.021	20.191	20.361	20.531	20.701	20.871	21.041	21.211	21.381	21.551	21.721	21.891	22.061	22.231	22.401
111	roomG	N5279315	N2518305	20.285713	1.0	1	roomG N5279315	17.457	17.551	17.646	17.74	17.834	17.929	18.023	18.117	18.211	18.306	18.4	18.494	18.589	18.683	18.777	18.871	18.966	19.06	19.154	19.249	19.343	19.437	19.531	19.626	19.72	19.814	19.909	20.003	20.097	20.191
145	roomG	N8317607	N1983096	21.900002	0.9705882353	34	roomG N8317607	17.61	17.753	17.896	18.039	18.182	18.325	18.468	18.611	18.754	18.897	19.04	19.183	19.326	19.469	19.612	19.755	19.898	20.041	20.184	20.327	20.47	20.613	20.756	20.899	21.042	21.185	21.328	21.471	21.614	21.757
146	roomG	N8317607	N940315	23.900002	0.029411764700000002	34	roomG N8317607	20.66	20.768	20.876	20.984	21.092	21.2	21.308	21.416	21.524	21.632	21.74	21.848	21.956	22.064	22.172	22.28	22.388	22.496	22.604	22.712	22.82	22.928	23.036	23.144	23.252	23.36	23.468	23.576	23.684	23.792
26	roomG	N3215843	N3886181	14.294119	0.46031746030000004	126	roomG N3215843	10.676	10.797	10.918	11.038	11.159	11.279	11.4	11.521	11.641	11.762	11.882	12.003	12.124	12.244	12.365	12.485	12.606	12.726	12.847	12.968	13.088	13.209	13.329	13.45	13.571	13.691	13.812	13.932	14.053	14.174
25	roomG	N3215843	N9994126	13.3529415	0.5396825397	126	roomG N3215843	10.388	10.487	10.586	10.685	10.784	10.882	10.981	11.08	11.179	11.278	11.376	11.475	11.574	11.673	11.772	11.871	11.969	12.068	12.167	12.266	12.365	12.464	12.562	12.661	12.76	12.859	12.958	13.056	13.155	13.254
51	roomG	N3886181	N5279315	17.307692000000003	0.017241379299999998	58	roomG N3886181	14.031	14.14	14.249	14.358	14.468	14.577	14.686	14.795	14.905	15.014	15.123	15.232	15.342	15.451	15.56	15.669	15.778	15.888	15.997	16.106	16.215	16.325	16.434	16.543	16.652	16.762	16.871	16.98	17.089	17.198
99	roomG	N1625775	N2316202	19.8	0.0	21	roomG N1625775	18.42	18.466	18.512	18.558	18.604	18.65	18.696	18.742	18.788	18.834	18.88	18.926	18.972	19.018	19.064	19.11	19.156	19.202	19.248	19.294	19.34	19.386	19.432	19.478	19.524	19.57	19.616	19.662	19.708	19.754
50	roomG	N3886181	N413710	15.769232	0.7241379309999999	58	roomG N3886181	12.054	12.178	12.302	12.425	12.549	12.673	12.797	12.921	13.045	13.168	13.292	13.416	13.54	13.664	13.788	13.912	14.035	14.159	14.283	14.407	14.531	14.655	14.778	14.902	15.026	15.15	15.274	15.398	15.522	15.645
52	roomG	N3886181	N1443972	17.615382999999998	0.25862068969999996	58	roomG N3886181	12.862	13.02	13.178	13.337	13.495	13.654	13.812	13.971	14.129	14.288	14.446	14.605	14.763	14.922	15.08	15.238	15.397	15.555	15.714	15.872	16.031	16.189	16.348	16.506	16.665	16.823	16.982	17.14	17.298	17.457
89	roomG	N1443972	N8317607	21.09091	0.8666666667	15	roomG N1443972	15.118	15.317	15.516	15.715	15.915	16.114	16.313	16.512	16.711	16.91	17.109	17.308	17.507	17.706	17.905	18.105	18.304	18.503	18.702	18.901	19.1	19.299	19.498	19.697	19.896	20.095	20.295	20.494	20.693	20.892
88	roomG	N1443972	N7117627	20.545454	0.0	15	roomG N1443972	17.3	17.408	17.516	17.625	17.733	17.841	17.949	18.057	18.165	18.274	18.382	18.49	18.598	18.706	18.815	18.923	19.031	19.139	19.247	19.355	19.464	19.572	19.68	19.788	19.896	20.005	20.113	20.221	20.329	20.437
87	roomG	N1443972	N2654501	18.727272	0.1333333333	15	roomG N1443972	14.745	14.878	15.011	15.144	15.276	15.409	15.542	15.675	15.807	15.94	16.073	16.205	16.338	16.471	16.604	16.736	16.869	17.002	17.135	17.267	17.4	17.533	17.665	17.798	17.931	18.064	18.196	18.329	18.462	18.595
56	roomG	N8320789	N3398689	16.285715	0.6911764706	68	roomG N8320789	13.971	14.049	14.126	14.203	14.28	14.357	14.434	14.511	14.589	14.666	14.743	14.82	14.897	14.974	15.051	15.129	15.206	15.283	15.36	15.437	15.514	15.591	15.669	15.746	15.823	15.9	15.977	16.054	16.131	16.209
100	roomG	N1625775	N9172148	21.8	1.0	21	roomG N1625775	16.28	16.464	16.648	16.832	17.016	17.2	17.384	17.568	17.752	17.936	18.12	18.304	18.488	18.672	18.856	19.04	19.224	19.408	19.592	19.776	19.96	20.144	20.328	20.512	20.696	20.88	21.064	21.248	21.432	21.616
19	tworooms	N1627744	N7416731	13.2	0.6507936508	126	tworooms N1627744	10.42	10.513	10.605	10.698	10.791	10.883	10.976	11.069	11.161	11.254	11.347	11.439	11.532	11.625	11.717	11.81	11.903	11.995	12.088	12.181	12.273	12.366	12.459	12.551	12.644	12.737	12.829	12.922	13.015	13.107
20	tworooms	N1627744	N2169075	15.466667000000001	0.34920634920000004	126	tworooms N1627744	11.387	11.523	11.659	11.795	11.931	12.067	12.203	12.339	12.475	12.611	12.747	12.883	13.019	13.155	13.291	13.427	13.563	13.699	13.835	13.971	14.107	14.243	14.379	14.515	14.651	14.787	14.923	15.059	15.195	15.331
123	tworooms	N6388298	N3112363	22.571428	0.8095238095	21	tworooms N6388298	16.443	16.647	16.851	17.056	17.26	17.464	17.669	17.873	18.077	18.281	18.486	18.69	18.894	19.099	19.303	19.507	19.711	19.916	20.12	20.324	20.529	20.733	20.937	21.141	21.346	21.55	21.754	21.959	22.163	22.367
122	tworooms	N6388298	N2446217	20.571428	0.1904761905	21	tworooms N6388298	19.5	19.536	19.571	19.607	19.643	19.679	19.714	19.75	19.786	19.821	19.857	19.893	19.929	19.964	20.0	20.036	20.071	20.107	20.143	20.179	20.214	20.25	20.286	20.321	20.357	20.393	20.429	20.464	20.5	20.536
75	tworooms	N2277	N5127596	18.5	0.033333333300000004	30	tworooms N2277	15.8	15.89	15.98	16.07	16.16	16.25	16.34	16.43	16.52	16.61	16.7	16.79	16.88	16.97	17.06	17.15	17.24	17.33	17.42	17.51	17.6	17.69	17.78	17.87	17.96	18.05	18.14	18.23	18.32	18.41
141	tworooms	N7291500	N9403647	21.75	0.7142857143000001	7	tworooms N7291500	16.387	16.566	16.745	16.924	17.102	17.281	17.46	17.639	17.818	17.996	18.175	18.354	18.532	18.711	18.89	19.069	19.248	19.426	19.605	19.784	19.962	20.141	20.32	20.499	20.678	20.856	21.035	21.214	21.392	21.571
103	tworooms	N5159403	N7004659	20.1	0.0	12	tworooms N5159403	14.94	15.112	15.284	15.456	15.628	15.8	15.972	16.144	16.316	16.488	16.66	16.832	17.004	17.176	17.348	17.52	17.692	17.864	18.036	18.208	18.38	18.552	18.724	18.896	19.068	19.24	19.412	19.584	19.756	19.928
102	tworooms	N5159403	N1559736	20.1	0.0	12	tworooms N5159403	17.28	17.374	17.468	17.562	17.656	17.75	17.844	17.938	18.032	18.126	18.22	18.314	18.408	18.502	18.596	18.69	18.784	18.878	18.972	19.066	19.16	19.254	19.348	19.442	19.536	19.63	19.724	19.818	19.912	20.006
74	tworooms	N2277	N6388298	18.3	0.7333333333	30	tworooms N2277	13.98	14.124	14.268	14.412	14.556	14.7	14.844	14.988	15.132	15.276	15.42	15.564	15.708	15.852	15.996	16.14	16.284	16.428	16.572	16.716	16.86	17.004	17.148	17.292	17.436	17.58	17.724	17.868	18.012	18.156
151	tworooms	N1738800	N5180650	22.714287	1.0	11	tworooms N1738800	16.586	16.79	16.994	17.199	17.403	17.607	17.811	18.016	18.22	18.424	18.629	18.833	19.037	19.241	19.446	19.65	19.854	20.059	20.263	20.467	20.671	20.876	21.08	21.284	21.489	21.693	21.897	22.101	22.306	22.51
101	tworooms	N5159403	N1738800	19.9	1.0	12	tworooms N5159403	15.19	15.347	15.504	15.661	15.818	15.975	16.132	16.289	16.446	16.603	16.76	16.917	17.074	17.231	17.388	17.545	17.702	17.859	18.016	18.173	18.33	18.487	18.644	18.801	18.958	19.115	19.272	19.429	19.586	19.743
76	tworooms	N2277	N7291500	19.900002	0.23333333329999997	30	tworooms N2277	14.74	14.912	15.084	15.256	15.428	15.6	15.772	15.944	16.116	16.288	16.46	16.632	16.804	16.976	17.148	17.32	17.492	17.664	17.836	18.008	18.18	18.352	18.524	18.696	18.868	19.04	19.212	19.384	19.556	19.728
67	tworooms	N2169075	N2277	17.0	0.6818181818000001	44	tworooms N2169075	12.425	12.577	12.73	12.882	13.035	13.187	13.34	13.492	13.645	13.798	13.95	14.102	14.255	14.407	14.56	14.712	14.865	15.017	15.17	15.322	15.475	15.628	15.78	15.932	16.085	16.237	16.39	16.542	16.695	16.847
68	tworooms	N2169075	N763696	17.166666	0.0454545455	44	tworooms N2169075	14.092	14.194	14.297	14.399	14.502	14.604	14.707	14.809	14.912	15.014	15.117	15.219	15.322	15.424	15.527	15.629	15.732	15.834	15.937	16.039	16.142	16.244	16.347	16.449	16.552	16.654	16.757	16.859	16.962	17.064
69	tworooms	N2169075	N5159403	18.499998	0.2727272727	44	tworooms N2169075	13.525	13.691	13.857	14.022	14.188	14.354	14.52	14.686	14.852	15.018	15.183	15.349	15.515	15.681	15.847	16.012	16.178	16.344	16.51	16.676	16.842	17.008	17.173	17.339	17.505	17.671	17.837	18.002	18.168	18.334
140	tworooms	N7291500	N9601214	21.5	0.2857142857	7	tworooms N7291500	19.512	19.579	19.645	19.711	19.778	19.844	19.91	19.976	20.042	20.109	20.175	20.241	20.308	20.374	20.44	20.506	20.572	20.639	20.705	20.771	20.838	20.904	20.97	21.036	21.102	21.169	21.235	21.301	21.368	21.434
150	tworooms	N1738800	N7295169	22.428572	0.0	11	tworooms N1738800	21.314	21.351	21.389	21.426	21.463	21.5	21.537	21.574	21.611	21.649	21.686	21.723	21.76	21.797	21.834	21.871	21.909	21.946	21.983	22.02	22.057	22.094	22.131	22.169	22.206	22.243	22.28	22.317	22.354	22.391
